record_kind,module,canonical_term,capability,disposition,activation_boundary,repository,selected_fork,branch,revision,license,license_scope,dependencies,upstream_divergence,local_delta_summary,local_delta_owner,config_files,remaining_gate,evidence
module-decision,mod-TimeIsTime,time/calendar presentation,No custom implementation currently justified.,removed,removed from baseline because no owner capability requires altered time presentation,https://github.com/dunjeon/mod-TimeIsTime.git,selected repository is the direct community upstream,master,abfb3a7a031c168c481642604c1389a5d92f4499,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,core,time presentation owner,none,CPI-203,mod-time_is_time.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-ah-bot-plus,sole auction-house automation,Local fail-closed progression filtering exists; seller and buyer remain disabled with zero GUIDs until fresh service identities and cloned economy tests pass.,compiled-disabled,"seller=false, buyer=false, GUIDs=0 until fresh service identities and economy acceptance",https://github.com/NathanHandley/mod-ah-bot-plus.git,selected repository is the direct community upstream,master,f685832994c825f90aa5a3dc0e1620aa568e875b,NO whole-repository license,"private-home-use-only; no redistribution, sublicense, publication, or open-source claim",global-phase;accepted fresh AH service-identity manifest,current source/candidate/secure3 contain no owner account/name; seller and buyer disabled; GUIDs=0; identity verifier PASS,owner-agnostic realm-level/Progression-System eligibility; bot/excluded-account regexes; fail-closed service identity; 3 dirty files,CPI-200,mod_ahbot.conf,exact rebuild/startup of current source; provision fresh service identities; cloned listing/purchase/inflation tests; license for distribution,inventory diff=75e26c21c835bd27f37cdbded8f1ee2114b2bb10aed94f9a1f769ccb8d501142; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-autofish,generated-population fishing automation,Published behavior affects every non-GM player; the candidate adds AutoFish.OnlyRandomBots=1 bound specifically to current RandomBot scheduler membership rather than durable identity provenance.,removed,removed from baseline; Playerbots ordinary activity remains the owner,https://github.com/Flerp/mod-autofish.git,https://github.com/Akotz89/mod-autofish.git,maintained/cpi217,7a6dca219a3edf41420ee78d2565b80bed4ddcd5,MIT,repository grant recorded at exact pin; normal license obligations still apply,core;mod-playerbots current RandomBot scheduler membership,published module targets every non-GM; local RNDBOT seam is appropriate; Playerbots must initiate first cast,OnlyRandomBots filter before catch/loot/recast; reload cleanup; 2 dirty rows,CPI-201,mod_autofish.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=c39f6972239190f062dea9818da320d7c4ad4915d4f0c00b7e5869c41a9d1376; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-autoloot,sole corpse-loot automation,Local adaptation must be disabled and identity-unbound by default and must not overlap Playerbots allocations or Quest Loot Party.,removed,AutoLoot.Enable=0 and PlayerName blank; identity-scoped activation is not approved,https://github.com/Grim-Batol/mod-autoloot.git,https://github.com/Akotz89/mod-autoloot.git,maintained/cpi217,5edaa2bfe6caff8025d9de650fef1df0af411cce,GPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,core loot authority;owner-selected actor,runtime still selects by an exact configured PlayerName; historical fixed-player artifacts/scripts are superseded,loot eligibility/storage compatibility; 3 dirty rows,CPI-220,mod_autoloot.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=19f18c2d501af6cd8803195b8796cd7e615725944b58d5811610f6afb14a5a04; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-boss-announcer,world-boss announcements,Do not infer complete dungeon or raid coverage from the module name.,removed,removed from baseline; no selected announcement capability,https://github.com/azerothcore/mod-boss-announcer.git,selected repository is the direct community upstream,master,3af6e83e976a9a143ded51f4e8afeb69863fb5ec,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,core,possible chat volume under RNDBOT churn,none,CPI-201,mod_boss_announcer.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-breaking-news-override,login news presentation,Compiled for inventory completeness but intentionally disabled for the first release.,removed,removed from baseline; no selected client-login news capability,https://github.com/azerothcore/mod-breaking-news-override.git,selected repository is the direct community upstream,master,1016344718b1ace3235b00469f0df65d544371db,MIT,repository grant recorded at exact pin; normal license obligations still apply,Warden Payload Manager;compatible client,client/Warden presentation,none,CPI-201,breakingnews.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-dungeon-clear,dungeon route and clear execution,The candidate adds DungeonClear.TestRun.Enable=0 to generated named-roster and plan starts because the three published zero numeric caps mean unlimited; compile and negative runtime proof remain pending.,enabled,targeted enabled after SQL/startup/gameplay gates; owns real dungeon execution only,https://github.com/TopHatMan/mod-dungeon-clear.git,TopHatMan fork of the Dungeon Clear family; auto-playerbots is required by Dungeon Sim and replaces the jrad7 candidate,auto-playerbots,d9a75a0f9760981107077b3116f71eedceeddb37,AGPL-3.0-or-later notice,repository grant recorded at exact pin; normal license obligations still apply,mod-playerbots;DungeonClear addon;mod-playerbot-dungeon-sim,required TopHatMan fork for Dungeon Sim; owns active 5-man execution only,Linux case fix; autonomous StartAutonomousClear API; TestRun.Enable gate; 6 dirty rows,CPI-218,mod_dungeon_clear.conf,negative test-harness and real RNDBOT 5-man maintenance/restart/earned-loot proof,inventory diff=69408baddb50a932ce58ac198b3f278c347b96085f77dd8c8a4596d9cc294038; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-fly-anywhere,flight-area data,Selected Patch-O is installed and Cache is recoverably backed up; login and representative flight remain pending.,removed,removed from baseline; preserve ordinary travel,https://github.com/abracadaniel22/mod-fly-anywhere.git,selected repository is the direct community upstream,main,141b789f9b9c99ebf0c5391df9dafb825f967f9a,MIT,repository grant recorded at exact pin; normal license obligations still apply,server AreaTable.dbc;client Patch-O.mpq,server/client DBC must match,none,CPI-203,fly-anywhere.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-game-state-api,Game State API read-only observability,Deferred authenticated read-only observability through the canonical Game State API. Player State API is shorthand only for its /api/player/* read endpoints; it is not a separate component.,deferred,not in the production baseline; disabled development profile only,https://github.com/abutbul/mod-game-state-api.git,https://github.com/Akotz89/mod-game-state-api.git,maintained/cpi217,13740b317beb2a53100730fb6666412a1041183f,AGPL-3.0,repository grant recorded at exact pin; normal license obligations still apply,world-thread queue;bearer token,owns port 8080; published defaults were 0.0.0.0 wildcard CORS and no auth,six-file deferred-profile hardening at diff SHA-256 3fd2ed3c2a625e2234bcc525bd649c0ca9e3d2357bfe79b18b3ce5848206620b; CPI-225 owns API provenance and hardening closure,CPI-225,gamestate_api.conf,remain deferred and disabled; bind one CPI-225-owned reconstructable hardening commit/patch before any future token/bind/port/CORS/401/200/saturation/timeout/reload/shutdown/latency evaluation,inventory diff=3fd2ed3c2a625e2234bcc525bd649c0ca9e3d2357bfe79b18b3ce5848206620b; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
module-decision,mod-guildhouse,guild-house seller and setup,Entry 500030 intentionally receives no first-release spawn; later placement must be reversible SQL rather than an incidental live command.,removed,removed from baseline; no selected utility-NPC capability,https://github.com/azerothcore/mod-guildhouse.git,selected repository is the direct community upstream,master,0b3cc14e947a859f8a7751a10676107d6316275b,NO repository license,"private-home-use-only; no redistribution, sublicense, publication, or open-source claim",world SQL;approved NPC placement,does not itself provide autonomous bot guilding,none,CPI-201,mod_guildhouse.conf,none for current release; module must be absent unless capability selection is reopened,inventory diff=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855; runtime posture=ba7eb37a32ff73283454307758441ff1935803fb3626cf12a11c7618eae48542; CPI-222 compatibility row
